date,open_price,high_price,low_price,close_price,volume,company_id
2024-10-28,223.35,225.64,222.95,225.5,6842956,4
2024-10-29,225.21,226.75,222.81,222.9,6580004,4
2024-10-30,222.54,226.31,221.58,224.41,7110941,4
2024-10-31,224.7,225.69,221.82,221.92,7829932,4
2024-11-01,223.56,226.15,222.7,222.94,6923452,4
2024-11-04,222.65,223.76,219.17,219.78,8229588,4
2024-11-05,220.03,221.96,220.0,221.49,5600686,4
2024-11-06,235.0,248.0,234.77,247.06,23987753,4
2024-11-07,244.5,244.57,235.22,236.38,16451071,4
2024-11-08,239.34,239.34,235.78,236.98,9502100,4
2024-11-11,240.32,242.1,239.0,239.29,9017079,4
2024-11-12,240.47,241.46,238.76,239.56,6860956,4
2024-11-13,240.64,244.09,240.31,241.16,11472557,4
2024-11-14,242.415,244.29,241.05,241.87,10172202,4
2024-11-15,242.63,246.42,241.46,245.31,11518836,4
2024-11-18,247.84,247.93,242.68,245.03,9052575,4
2024-11-19,242.0525,245.1509,241.55,243.09,6792660,4
2024-11-20,244.04,244.61,238.64,240.78,9015290,4
2024-11-21,243.23,245.49,242.105,244.76,8783516,4
2024-11-22,243.0694,249.15,243.0347,248.55,7997307,4
2024-11-25,249.9,254.31,249.06,250.29,10295350,4
2024-11-26,250.5,251.0,248.34,249.97,6212142,4
2024-11-27,249.34,251.19,248.771,249.79,5472265,4
2024-11-29,249.92,251.77,249.445,249.72,5494825,4
2024-12-02,249.7,250.25,245.03,246.25,8899741,4
2024-12-03,248.23,249.04,244.63,244.82,6657694,4
2024-12-04,244.7,245.345,242.23,243.4,7346265,4
2024-12-05,245.09,247.18,244.62,245.48,6572536,4
2024-12-06,245.75,247.74,244.84,247.36,5519738,4
2024-12-09,247.0,247.8699,243.76,243.81,7076466,4
2024-12-10,243.92,247.96,242.22,242.86,9108339,4
2024-12-11,244.27,244.27,242.18,243.53,7884442,4
2024-12-12,242.96,244.1,241.04,241.53,6113771,4
2024-12-13,242.07,242.715,239.1437,239.94,10392749,4
2024-12-16,240.26,240.67,237.52,239.58,9032044,4
2024-12-17,238.65,239.02,236.63,238.36,8083635,4
2024-12-18,239.07,239.07,229.53,230.37,11322358,4
2024-12-19,232.27,236.36,232.27,232.96,11790773,4
2024-12-20,232.0,239.21,231.5877,237.6,32348414,4
2024-12-23,235.89,238.62,234.88,238.39,8611528,4
2024-12-24,239.41,242.4922,239.07,242.31,3729092,4
2024-12-26,241.3,243.26,240.79,243.14,4452168,4
2024-12-27,242.72,243.39,240.04,241.17,5730607,4
2024-12-30,238.8,240.84,237.11,239.32,5723765,4
2024-12-31,240.0,241.4393,239.03,239.71,4870971,4
2025-01-02,240.96,243.276,239.45,240.0,9220914,4
2025-01-03,243.88,244.88,240.26,243.28,9491053,4
2025-01-06,243.695,245.69,240.58,240.85,9917836,4
2025-01-07,242.0,245.26,240.9,243.17,8753357,4
2025-01-08,242.75,244.25,240.5,243.13,8675284,4
2025-01-10,243.44,243.81,238.74,239.87,10256829,4
2025-01-13,239.67,244.54,239.0,244.21,10005315,4
2025-01-14,242.66,247.72,242.19,247.47,12407386,4
2025-01-15,250.4,253.6699,243.68,252.35,18448520,4
2025-01-16,254.0,257.035,252.33,254.27,15292348,4
